status,card_present_flag,bpay_biller_code,account,currency,txn_description,merchant_id,merchant_code,first_name,balance,date,gender,age,merchant_suburb,merchant_state,extraction,amount,transaction_id,country,customer_id,movement,long,lat,merchant_long,merchant_lat
authorized,0,"",ACC-1598451071,AUD,SALES-POS,830a451c-316e-4a6a-bf25-e37caedca49e,"",Diana,21.2,8/1/18,F,26,Sydney,NSW,2018-08-01T01:13:45.000+0000,14.19,13270a2a902145da9db4c951e04b51b9,Australia,CUS-2487424745,debit,153.41,-27.95,151.21,-33.87
authorized,0,"",ACC-2890243754,AUD,POS,7e8bf667-e724-4359-a406-3538a3e27b4e,"",Joseph,275.93,8/1/18,M,37,Lismore,NSW,2018-08-01T08:19:14.000+0000,24.77,1f12467d33ce4609890fb64978ebbcbb,Australia,CUS-2695611575,debit,153.32,-27.93,153.28,-28.81
authorized,0,"",ACC-2615038700,AUD,POS,354f40cb-55bc-4a81-a00d-c7faede29f8b,"",Emily,30583.15,8/1/18,F,43,Mordialloc,VIC,2018-08-01T08:47:48.000+0000,12.08,49417bad354f4137971a954c26657e2d,Australia,CUS-3255104878,debit,145.35,-38.03,145.09,-38.01
authorized,0,"",ACC-1710017148,AUD,SALES-POS,4af25042-a1a4-4688-90b5-240d790e5332,"",Michelle,1625.34,8/1/18,F,19,Alexandria,NSW,2018-08-01T09:11:00.000+0000,11.57,82acf03790844776b4587fd6e6f526c5,Australia,CUS-883482547,debit,150.82,-34.01,151.19,-33.92
authorized,0,"",ACC-3485804958,AUD,POS,a08935a2-99a8-49f0-b73a-f8de51ca0abd,"",Jessica,12529.59,8/1/18,F,34,Findon,SA,2018-08-01T09:19:06.000+0000,33.89,89050ee5c5aa4e79b03e717518236bf9,Australia,CUS-1196156254,debit,138.52,-35.01,138.53,-34.9
authorized,0,"",ACC-3689607373,AUD,POS,e54ebe26-344e-4084-a102-4ca6bf82b25b,"",Virginia,1089.59,8/1/18,F,20,West Perth,WA,2018-08-01T09:55:32.000+0000,15.91,303ab7bca5764bb3863758b3142b74bb,Australia,CUS-127297539,debit,115.79,-31.79,115.84,-31.95
authorized,0,"",ACC-2901672282,AUD,SALES-POS,7ce5471b-363c-46ab-b398-ca517347829a,"",Daniel,1290.08,8/1/18,M,22,Sydney,NSW,2018-08-01T10:27:08.000+0000,31.62,826f09d26daf4b7282f597cabfecaf81,Australia,CUS-1617121891,debit,255.00,-573.00,151.21,-33.87
authorized,0,"",ACC-4258502723,AUD,POS,e77e7118-9958-4ae0-8ecd-b705bde43c16,"",Kimberly,589.1,8/1/18,F,24,Sydney,NSW,2018-08-01T11:45:34.000+0000,109.51,fcb9829f70104a338b34cee4eb6cc9c8,Australia,CUS-3378712515,debit,145.45,-37.74,151.21,-33.87
authorized,0,"",ACC-3100725361,AUD,POS,cd28c099-0971-41a5-a9cc-d44477c350df,"",Ronald,2058.92,8/1/18,M,25,Cobram,VIC,2018-08-01T11:52:22.000+0000,27.39,646333af54b7418db2ffddf4466e027d,Australia,CUS-2178051368,debit,145.73,-17.03,145.65,-35.92
authorized,0,"",ACC-2615038700,AUD,POS,47fc3b6a-6e2d-4cd1-87ce-00360cf62893,"",Emily,29128.11,8/1/18,F,43,Lara,VIC,2018-08-01T13:45:33.000+0000,15.64,74c7d8e7a52c411ca0457469d55d5a92,Australia,CUS-3255104878,debit,145.35,-38.03,144.4,-38.02
